Lemma,Grundform
Kunigunde,"['Allerweltskunigundel', 'Brunzkundel', 'Brunzkunigundel', 'Ramschkundel', 'Schweißgundel', 'Seichkundel', 'Tratschkundel']"
Kuchen,"['Allerweltsküchlein', 'Apfelküchelein', 'Apfelküchlein', 'Apfelsküchlein', 'Erdbirnenkrapflein', 'Erdbirnenküchlein', 'Erdbirnküchlein', 'Erdäpfelküchlein', 'Erdäpfelsküchlein', 'Erdäpfelspfannenküchlein', 'Erdäpfelspfannküchlein', 'Fleischküchlein', 'Fransenküchlein', 'Grundbirneküchlein', 'Grundbirnenküchlein', 'Grundbirnenpfannküchelchen', 'Grundbirnküchlein', 'Grundbirnpfanneküchlein', 'Grundbirnpfannküchelchen', 'Grundbirnpfannküchlein', 'Grundbirnsküchlein', 'Grundbirnspfannküchlein', 'Hackfleischküchlein', 'Hefeküchel', 'Hefeküchlein', 'Hefenküchlein', 'Herdküchlein', 'Hollerküchlein', 'Kartoffelküchelchen', 'Kartoffelküchlein', 'Kartoffelsküchlein', 'Kirchweihküchlein', 'Kirchweihsküchlein', 'Kissenleinküchlein', 'Knieküchlein', 'Küchel', 'Küchelchen', 'Küchelein', 'Küchlein', 'Luftküchlein', 'Mehlküchlein', 'Patakenküchlein', 'Pfanneküchlein', 'Pfannenküchel', 'Pfannenküchlein', 'Pfannküchlein', 'Reibeküchlein', 'Reiberküchlein', 'Riebeleinsküchlein', 'Schmalzküchlein', 'Schneidersküchlein', 'Schustersküchlein', 'Schüsseleinsküchlein', 'Schüsselküchlein', 'Stopferküchlein', 'Äpfelküchelchen', 'Äpfelküchelein', 'Äpfelküchlein', 'Äpfelpfannenküchlein', 'Äpfelsküchlein', 'Äpfelspfannenküchelchen', 'Äpfelspfannküchlein']"
lieb,"['Allerweltsliebchen', 'Lehrerliebelein', 'Liebchen', 'Liebelei', 'Liebelein', 'Lieberlein', 'Maßliebchen']"
schlapp,"['Allerweltsschlappel', 'Apostelschläpplein', 'Hängeschläppel', 'Katzenschläppel', 'Negerschläppel', 'Schlappel', 'Schlappenveri', 'Schlapperlein', 'Schlapplein', 'Schluppel', 'Schläppel', 'Schläpperlein', 'Schläpplein']"
Zucht,"['Allerweltszuchtel', 'Brunzzuchtel', 'Sauzuchtel', 'Zuchtel']"
aller,['Allezlein']
alt,['Alterlein']
Haus,"['Altsitzhäuslein', 'Fangenhäusel', 'Gehäusel', 'Getreidehäuslein', 'Hirtenhäuslein', 'Häuschen', 'Häusel', 'Häuslein', 'Kornhäuslein', 'Lusthäusel', 'Maschinenhäuslein', 'Nebenhäuslein', 'Osterhäusel', 'Planhäuschen', 'Quadrathäuslein', 'Rathauspöpel', 'Scheißhäusel', 'Schneckenhäuslein', 'Schneehäusel', 'Schäferhäuslein', 'Seichhäuslein', 'Starenhäuschen', 'Starenhäuslein', 'Starenvogelhäuslein', 'Traufhäuslein', 'Treppenhäusi', 'Tropfhäuslein', 'Trüpfhäuslein', 'Vogelhäuschen', 'Vogelhäuslein', 'Vorhäuslein']"
Hube,"['Ameisenhübel', 'Ameisenhübellein', 'Ametzenhübel', 'Ametzenhüblein', 'Grashübel', 'Hubel', 'Hübchen', 'Hübel', 'Hübelein', 'Hüblein', 'Mordshübel', 'Tannenhübel', 'Ämeishubel']"
Hügel,"['Ameisenhügelein', 'Bahnhügelein', 'Hügelein']"
